customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00018,Female,0,Yes,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),64.19,1692.62,No
CUST-00019,Male,0,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,25.87,1317.77,No
CUST-00020,Female,0,No,Yes,23,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,79.99,1874.45,No
CUST-00021,Male,0,No,Yes,33,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),25.7,857.44,No
CUST-00022,Female,0,Yes,No,41,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,22.84,938.61,No
CUST-00023,Female,0,Yes,Yes,56,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,48.6,2643.42,No
CUST-00024,Female,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),111.88,3282.46,No
CUST-00025,Female,0,No,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,89.0,2821.05,No
CUST-00026,Female,0,Yes,No,65,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),18.4,1137.6,No
CUST-00027,Female,1,No,No,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),46.47,825.29,No
CUST-00028,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,19.75,122.44,No
CUST-00029,Female,1,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,47.43,2498.97,Yes
CUST-00030,Male,0,No,Yes,40,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,86.55,3501.91,No
CUST-00031,Male,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,93.98,5942.92,Yes
CUST-00032,Female,0,No,No,42,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,98.41,4187.82,Yes
CUST-00033,Female,0,No,No,68,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,109.0,7624.09,No
CUST-00034,Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,54.58,1729.4,No
CUST-00035,Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,104.26,1009.45,Yes
CUST-00036,Female,0,No,No,69,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),90.77,5998.37,No
CUST-00037,Male,0,Yes,Yes,9,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,71.78,646.39,No
CUST-00038,Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),113.46,7972.68,Yes
CUST-00039,Male,0,No,Yes,61,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),112.77,6646.9,Yes
CUST-00040,Male,0,Yes,No,11,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,107.76,1176.05,No
CUST-00041,Male,0,No,Yes,68,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Electronic check,38.22,2616.8,No
CUST-00042,Female,1,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),38.79,299.64,No
CUST-00043,Female,0,No,No,49,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),108.1,5175.01,No
CUST-00044,Female,0,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,57.79,1402.0,No
CUST-00045,Female,0,No,No,33,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,97.74,3298.0,No
CUST-00046,Female,0,No,Yes,19,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),86.69,1669.51,Yes
CUST-00047,Male,0,No,Yes,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),94.24,192.51,No
CUST-00048,Female,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.63,1143.9,No
CUST-00049,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,61.0,693.53,No
CUST-00050,Male,0,Yes,No,17,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,103.71,1820.68,No
CUST-00051,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.99,2896.93,Yes
CUST-00052,Male,0,Yes,No,61,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),87.01,5347.66,No
CUST-00053,Female,1,No,No,3,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),93.6,294.68,No
CUST-00054,Male,0,No,No,35,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,30.08,1004.28,Yes
CUST-00055,Female,1,Yes,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),33.57,2148.19,No
CUST-00056,Female,0,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,90.46,93.25,No
CUST-00057,Male,0,No,No,7,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,23.46,169.58,No
CUST-00058,Male,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),52.19,1077.07,Yes
CUST-00059,Male,0,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),109.81,4897.82,No
CUST-00060,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,75.44,449.14,Yes
CUST-00061,Male,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),109.05,6256.75,Yes
CUST-00062,Male,0,Yes,No,21,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),48.94,997.85,No
CUST-00063,Male,0,Yes,Yes,51,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,81.66,4346.63,No
CUST-00064,Male,0,Yes,Yes,46,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),46.67,2158.99,No
CUST-00065,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),29.11,984.6,No
CUST-00066,Female,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),117.07,958.67,No
CUST-00067,Male,0,Yes,No,68,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,35.62,2372.72,Yes
CUST-00068,Female,0,No,No,16,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,36.85,573.12,Yes
CUST-00069,Female,1,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),102.19,6622.21,No
CUST-00070,Female,0,No,No,71,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,98.22,6645.45,No
CUST-00071,Female,1,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,115.78,7606.03,No
CUST-00072,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,25.17,50.27,No
CUST-00073,Female,0,No,No,1,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),27.41,28.72,Yes
CUST-00074,Male,0,No,No,58,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,62.87,3624.32,No
CUST-00075,Female,0,No,Yes,1,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,77.17,79.82,Yes
CUST-00076,Female,1,No,Yes,7,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),21.8,159.74,No
CUST-00077,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,33.84,2223.46,No
CUST-00078,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,88.33,1527.19,No
CUST-00079,Female,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,84.85,2673.89,Yes
CUST-00080,Male,0,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.97,1258.57,Yes
CUST-00081,Female,1,Yes,No,33,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),111.17,3792.59,Yes
CUST-00082,Male,0,No,No,49,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,43.48,2102.13,No
CUST-00083,Female,0,Yes,No,33,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,106.72,3416.07,No
CUST-00084,Male,0,No,Yes,71,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),110.3,8068.06,No
CUST-00085,Male,0,No,No,68,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,67.01,4600.84,No
CUST-00086,Female,0,No,No,28,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,59.2,1579.96,No
CUST-00087,Male,0,Yes,No,53,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,45.81,2501.79,Yes
CUST-00088,Female,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,98.74,4543.09,Yes
CUST-00089,Female,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),37.66,1976.45,No
CUST-00090,Female,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),80.21,784.92,Yes
CUST-00091,Female,0,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),74.71,1079.35,Yes
CUST-00092,Female,0,No,No,36,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,42.89,1557.11,Yes
CUST-00093,Female,0,Yes,No,34,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),116.3,4147.7,No
CUST-00094,Female,0,No,No,18,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,102.63,1924.1,No
CUST-00095,Female,0,No,No,16,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),20.05,310.48,Yes
CUST-00096,Female,0,No,No,37,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,60.23,2267.29,No
CUST-00097,Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,53.9,2243.77,No
CUST-00098,Female,0,Yes,Yes,25,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),106.28,2553.6,No
CUST-00099,Male,0,Yes,Yes,8,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,44.45,341.0,No
CUST-00100,Male,0,Yes,No,18,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,117.85,2136.03,No
CUST-00101,Female,0,No,No,68,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,38.01,2559.6,No
CUST-00102,Female,0,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),42.39,2043.97,No
CUST-00103,Female,0,No,No,70,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),84.61,5768.02,No
CUST-00104,Female,0,No,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),34.11,2298.32,No
CUST-00105,Female,0,No,Yes,18,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.88,1901.41,Yes
CUST-00106,Female,0,No,Yes,18,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),28.99,542.04,No
CUST-00107,Female,0,Yes,No,56,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,116.33,6388.16,No
CUST-00108,Female,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),105.46,2515.53,Yes
CUST-00109,Male,0,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,101.97,3529.69,No
CUST-00110,Female,0,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,58.72,355.07,No
CUST-00111,Male,0,Yes,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),69.36,1764.84,Yes
CUST-00112,Female,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),63.64,4002.03,No
CUST-00113,Female,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,116.74,1811.28,Yes
CUST-00114,Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,21.48,708.6,No
CUST-00115,Female,0,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,56.17,683.47,No
CUST-00116,Male,0,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),114.84,562.99,No
CUST-00117,Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,54.94,3564.15,No
CUST-00118,Female,1,No,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),57.84,4295.34,No
CUST-00119,Male,0,No,No,27,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,81.13,2223.01,Yes
CUST-00120,Female,0,No,Yes,45,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Credit card (automatic),108.73,5116.16,No
CUST-00121,Male,1,No,Yes,35,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,47.45,1628.3,Yes
CUST-00122,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,112.76,3033.2,No
CUST-00123,Male,1,Yes,No,23,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),46.26,1087.22,Yes
CUST-00124,Male,0,No,Yes,13,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,99.54,1335.33,Yes
CUST-00125,Female,1,Yes,No,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,45.58,139.62,Yes
CUST-00126,Female,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),25.3,732.26,No
CUST-00127,Male,0,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),99.23,6671.37,Yes
CUST-00128,Female,0,Yes,No,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,63.01,4206.89,No
CUST-00129,Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,57.07,1584.78,No
CUST-00130,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),60.99,2294.83,No
CUST-00131,Male,0,Yes,Yes,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),79.16,453.56,Yes
CUST-00132,Male,0,No,No,11,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),44.27,463.31,Yes
CUST-00133,Male,0,No,No,38,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,41.73,1584.76,No
CUST-00134,Male,0,No,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),66.34,2334.17,No
CUST-00135,Male,0,Yes,Yes,67,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,21.56,1408.09,No
CUST-00136,Male,1,No,Yes,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,82.28,3858.09,No
CUST-00137,Male,0,No,No,29,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,100.28,2921.76,Yes
CUST-00138,Male,1,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,90.74,5330.5,No
CUST-00139,Male,0,No,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,64.93,3431.11,Yes
CUST-00140,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,74.54,4923.78,No
CUST-00141,Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,20.62,186.25,No
CUST-00142,Female,0,No,No,10,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.24,1086.95,No
CUST-00143,Female,0,No,No,68,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,73.81,4913.39,No
CUST-00144,Female,0,No,No,58,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,49.64,3014.56,No
CUST-00145,Male,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.36,2541.15,No
CUST-00146,Male,1,No,No,34,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),83.97,2862.1,No
CUST-00147,Male,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,76.43,2680.86,No
CUST-00148,Male,0,No,No,33,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,36.78,1176.55,No
CUST-00149,Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),58.99,1915.83,No
CUST-00150,Male,0,No,No,55,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,85.62,4922.72,No
CUST-00151,Male,0,No,Yes,8,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),47.77,397.38,No
CUST-00152,Male,0,Yes,Yes,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,68.93,3039.12,Yes
CUST-00153,Male,0,No,Yes,14,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,43.49,581.65,Yes
CUST-00154,Male,0,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.17,210.65,No
CUST-00155,Female,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,56.82,3913.16,No
CUST-00156,Male,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),91.21,4950.17,No
CUST-00157,Female,1,Yes,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.39,792.01,No
CUST-00158,Male,0,No,No,14,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),93.45,1353.21,No
CUST-00159,Female,0,Yes,No,2,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),84.95,163.41,No
CUST-00160,Male,0,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),68.74,4253.42,No
CUST-00161,Male,1,Yes,No,17,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),115.15,1870.76,Yes
CUST-00162,Female,0,Yes,No,48,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),106.34,4929.07,No
CUST-00163,Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,74.32,595.28,No
CUST-00164,Female,0,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,73.78,3943.97,No
CUST-00165,Male,0,Yes,Yes,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),45.78,754.57,No
CUST-00166,Female,0,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,110.02,7315.18,Yes
CUST-00167,Male,0,Yes,No,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.59,1231.76,No
CUST-00168,Male,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,92.21,3669.02,No
CUST-00169,Female,0,No,No,18,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,30.79,551.46,No
CUST-00170,Female,0,Yes,No,26,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),88.36,2379.82,No
